,Unnamed: 0.1,record_id,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,valence_bin,energy_bin,danceability_bin
3631,6741,6741,64798,7KOc3UXMUEjN9vFfzjcTT7,Nat King Cole Trio,Home For Christmas 2022,All I Want For Christmas (Is My Two Front Teeth),0,151333,False,0.771,0.158,6,-10.374,0,0.0621,0.895,0.0,0.144,0.504,130.072,4,jazz,1,0,2
3025,5608,5608,51442,2eib87FpOijGfDL2jqPlo6,Jack Harlow,Hip Hop & R'n'B,First Class,0,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop,0,1,2
5104,9443,9443,98310,46aM9JrVwsI8VDY9MquZ1g,Norbert Leo Butz,The Last Five Years (Original Cast Recording),Nobody Needs to Know,27,420960,False,0.25,0.125,8,-16.411,1,0.0317,0.849,0.000485,0.0835,0.0748,89.261,3,show-tunes,0,0,0
779,1488,1488,10249,6d3jo3AUpEsOrMsbtyeW7y,The Prodigy,Their Law The Singles 1990 - 2005,Serial Thrilla - Live,18,315493,False,0.513,0.993,8,-4.801,0,0.11,0.000157,0.406,0.403,0.369,118.086,4,breakbeat,1,2,1
978,2003,2003,14137,4mXSbKYf6voPyMaFc79CwL,Kidz Bop Kids,KIDZ BOP Halloween,Purple People Eater,44,151093,False,0.562,0.858,9,-3.724,1,0.0865,0.0494,0.0,0.161,0.807,158.07,4,children,2,2,1
2400,4453,4453,42344,2ICxlnvhk4Kz8YjTAr22k0,Carcass,Symphonies of Sickness,Embryonic Necropsy and Devourment,17,313533,True,0.131,0.855,7,-11.139,1,0.0813,1.9e-06,0.87,0.189,0.279,77.623,4,grindcore,0,2,0
5223,9624,9624,99695,7rnDZfdq7rNyAWLCQ9vpLv,10cc,On air 70's Hits,The Things We Do For Love,0,213066,False,0.437,0.557,1,-8.487,1,0.102,0.33,0.0,0.248,0.683,161.412,3,singer-songwriter,2,1,1
518,892,892,6033,0IVdlBreRkZn0ftoUwB0T6,Cradle Of Filth,Midian,Her Ghost in the Fog,48,384813,False,0.379,0.996,2,-3.023,0,0.285,0.00457,9.26e-06,0.0981,0.0386,128.049,4,black-metal,0,2,1
2243,4098,4098,38734,65vUuU0uAZoP2Y5MoxNDMI,The Smith Street Band,Don't Waste Your Anger,Dirty Water,26,253613,False,0.277,0.419,10,-7.058,1,0.0279,0.516,3.12e-06,0.114,0.346,97.813,4,garage,1,1,0
4861,8964,8964,90211,4OTw5splgMdlYklwHMHxLK,The Hollies,Distant Light (Expanded Edition),Long Cool Woman (In a Black Dress) - 1999 Remaster,71,199200,False,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4,rock-n-roll,2,2,2
5243,9652,9652,99266,0gOz9JUXsaKVzLTSmFDtdo,Jess Benko,"Do You Love Me, or Are You Just Lonely?",A Soulmate Who Wasn’t Meant to Be,71,316556,False,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,3,singer-songwriter,0,0,1
3642,6761,6761,64935,4Lqk2GpiFB0ZRL2o62eL5U,Tony Esposito,Tony Esposito,Papa Chico,38,241932,False,0.823,0.256,10,-17.652,1,0.0549,0.261,0.000675,0.06,0.775,97.796,4,jazz,2,0,2
2344,4281,4281,41204,0WPOxxoEVoglAvhqroDpQA,Little Dragon,"New Me, Same Us",Where You Belong,62,207037,False,0.737,0.436,7,-9.146,1,0.0555,0.161,0.106,0.16,0.36,83.022,4,goth,1,1,2
1075,2216,2216,15081,1ALzDZBUiQtf9UmEYRKtMj,Pink Sweat$,Summer Music Festival Hits,At My Worst,0,170344,False,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,4,chill,2,1,2
5442,10053,10053,103136,0GzrUg3QI5ljFHmyls1Uy2,Stevie Wonder,Christmas Faves 2022,Someday At Christmas,0,169293,False,0.325,0.536,5,-6.04,1,0.0323,0.614,0.0,0.251,0.218,101.483,4,soul,0,1,0
5315,9866,9866,101006,1jMORMyMYDLCQ60u4aI6yZ,White Noise for Babies,Thinned Phaser,Ripple,0,68624,False,0.199,0.0459,0,-34.04,1,0.0496,0.994,0.988,0.109,0.0348,138.752,5,sleep,0,0,0
3067,5824,5824,52728,5iIqhkObZIVrq9I74j4A7s,George Jones,One Woman Man,A Place In the Country,12,239626,False,0.524,0.19,8,-19.538,1,0.0268,0.736,1.53e-06,0.113,0.243,80.846,4,honky-tonk,0,0,1
2789,5181,5181,47211,7B6FA3U2qUcV1gzWE6lTrR,Guns N' Roses,Double Talkin' Jive / You Could Be Mine,"You Could Be Mine - Live In New York, Ritz Theatre - May 16, 1991",0,362813,True,0.241,0.995,5,-3.039,0,0.188,0.000455,0.0237,0.694,0.147,157.779,4,hard-rock,0,2,0
1208,2496,2496,19714,0vzSAyinyA619ZbrOaAi04,Dan + Shay,Good Things,Steal My Love,66,162120,False,0.59,0.633,2,-5.452,1,0.0328,0.619,0.0,0.157,0.751,179.856,4,country,2,1,1
2688,4997,4997,46829,28TA2R1pMxHEJtyYeJzXOK,Dj Mad Dog;Anime,Exterminate,Hardcore machine,17,208457,True,0.482,0.993,9,-4.202,0,0.381,0.000812,6.35e-05,0.904,0.189,174.959,4,happy,0,2,1
2067,3810,3810,34239,0EcpFZArVrXZJ4vh9hLPsz,Tom Petty and the Heartbreakers,Pop Christmas 2022,Christmas All Over Again,0,253626,False,0.44,0.838,9,-6.196,1,0.0423,0.0956,0.0,0.473,0.619,138.908,4,folk,1,2,1
3038,5692,5692,52867,6siVzabZfJL41Se70bonmq,Hank Williams,The Immortal,Fly Trouble,10,164933,False,0.809,0.402,5,-12.753,1,0.0941,0.776,0.0,0.352,0.938,123.383,4,honky-tonk,2,1,2
1800,3425,3425,30867,3rrgneYIM5KKZTM28CCZqs,Duke Dumont,Larga Vida al Electro,Ocean Drive,0,206320,False,0.67,0.776,8,-4.091,0,0.047,0.00388,0.000189,0.122,0.624,115.034,4,edm,1,2,2
5608,10303,10303,105879,43Aw7i0PCijYdMeVCs3i5v,slån,modern grooves,home styling,26,85354,False,0.792,0.164,10,-12.847,0,0.057,0.826,0.893,0.0982,0.354,90.125,4,study,1,0,2
3021,5602,5602,51423,6HIkxxaASDhaXdcMa2PFRB,Jack Harlow,Am I Ready - Pop Night Out,First Class,0,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop,0,1,2
2266,4143,4143,38728,3RDxABllzqtGSzEX7xI9P6,C.O.F.F.I.N,Children Of Finland Fighting in Norway,Plans For You,26,189026,True,0.293,0.962,2,-4.937,1,0.165,9.41e-05,0.578,0.412,0.337,111.276,4,garage,1,2,0
1039,2159,2159,15800,491c4G5XxA8I80zNvR1rLR,Lund,Downhill,Downhill,55,176013,True,0.846,0.419,4,-8.957,0,0.0499,0.198,1.15e-05,0.0415,0.527,119.992,4,chill,1,1,2
3214,6067,6067,53628,2A5wg4aSc7X1Ej2fnOBJ9n,Mabel,Christmas Songs 2022,Loneliest Time Of Year,0,202693,False,0.517,0.609,7,-5.702,1,0.0291,0.0631,0.0,0.106,0.239,92.093,4,house,0,1,1
2708,5070,5070,47076,5G4roC38WFtOEF5Jo7vLUR,Rob Zombie,Halloween Hits,Living Dead Girl,2,201400,False,0.518,0.948,6,-5.579,0,0.0676,0.00512,0.0996,0.228,0.548,103.025,4,hard-rock,1,2,1
5618,10331,10331,105331,24mMhupEYd9fMpKM60MjVp,Turn.,Trumpet On The Street,Trumpet On The Street,36,109333,False,0.743,0.57,0,-6.629,1,0.0416,0.832,0.912,0.0968,0.223,90.042,4,study,0,1,2
5588,10260,10260,103903,2VRJKXrqR4ztn6WgJ28R9r,¿Téo?,In Your Body,In Your Body,61,203777,True,0.715,0.584,0,-9.004,1,0.136,0.291,0.00366,0.068,0.429,97.214,4,soul,1,1,2
4586,8489,8489,86145,4hPJ1gPE9nex8f8kcPskAb,New Order,Maintain Your Mojo,World in Motion,1,272133,False,0.609,0.93,1,-5.861,1,0.0511,0.0273,0.0327,0.107,0.729,123.908,4,punk,2,2,1
4713,8718,8718,91714,5KssLmpI5kFCx1sBYc1T8c,Jaymes Young,Give You Love - Cozy Hits,Infinity,0,237720,False,0.671,0.673,11,-6.941,0,0.0444,0.15,5.16e-05,0.304,0.493,121.96,4,rock,1,2,2
2685,4985,4985,46060,3HKcA3RHjWhKOKG37thGZZ,Promo,Last Men Standing,I Come Correct,29,353733,False,0.689,0.931,11,-4.467,1,0.144,0.0114,0.589,0.0753,0.145,147.852,4,happy,0,2,2
1820,3457,3457,30199,0RhLvAINBnJo65rZMIVdOR,Ellie Goulding,Fiesta de disfraces vol. II,Something In The Way You Move,0,226573,False,0.66,0.804,1,-6.133,0,0.0485,0.0402,0.0,0.129,0.359,109.0,4,edm,1,2,2
3302,6189,6189,57994,5srKMwXoeyrRnyTnNbpgIW,UPSAHL,People I Don't Like,People I Don't Like,69,142765,True,0.747,0.573,11,-6.562,0,0.295,0.268,0.0,0.302,0.551,90.036,4,indie,1,1,2
5787,10638,10638,113936,5KG8QLbyJHqlwWtLvSHPLS,Hillsong Worship,Ultimate Worship Vol 1,The Potters Hand,41,256093,False,0.301,0.456,7,-6.606,1,0.0259,0.34,2.46e-06,0.205,0.193,74.59,4,world-music,0,1,0
3122,5946,5946,53534,3sOGVdj5VPY6C2XImtlzj7,Marshmello,Shockwave,Shockwave,68,181283,False,0.577,0.875,9,-2.897,0,0.0681,0.0231,4.69e-06,0.111,0.411,164.009,4,house,1,2,1
4074,7575,7575,78939,1MndjgEGWVZCWsaxL22nzs,FiNCH;Scooter,Liebe ist ...,Rave Witchers,23,181551,True,0.57,0.957,10,-2.417,0,0.0883,0.00123,0.029,0.412,0.419,170.032,4,party,1,2,1
1980,3677,3677,33362,2CHuu85IjdomB4wPkDwoZp,Josh A;iamjakehill,Chaos,Endless Nightmare,58,151308,True,0.728,0.573,6,-8.388,1,0.0347,0.00716,0.0,0.164,0.315,139.947,4,emo,0,1,2
2585,4785,4785,44734,67mApPt3dL1gDnYcf6dc9V,Local H,LIFERS,Hold That Thought,27,199334,True,0.328,0.956,9,-4.173,0,0.0713,0.00555,2.07e-05,0.219,0.439,206.071,4,grunge,1,2,0
5310,9836,9836,101717,6Di2mEmryP7AAak4VZMLVJ,Mia Pandosa,Within the Light (Ambient Version),Within the Light,61,149765,False,0.0881,0.00356,5,-33.389,1,0.0435,0.985,0.964,0.149,0.0514,78.987,1,sleep,0,0,0
4999,9279,9279,94535,0EUEtq224zqzpzPHof2qmL,Jack Kays,MIXED EMOTIONS,BOTTOM OF THE BOTTLE,61,152500,False,0.636,0.427,7,-7.908,0,0.0253,0.698,0.0,0.111,0.618,83.538,4,sad,1,1,1
2381,4384,4384,42451,7EM8x02pL7RZAyG4ZbeVdC,Triac,Always Meant to Hurt You,Child Thief,13,88392,False,0.167,0.837,5,-9.142,1,0.0879,1.35e-06,0.83,0.155,0.126,113.403,4,grindcore,0,2,0
3613,6673,6673,64445,16qiNIVuTP48hap3zT7txG,Dean Martin,Weihnachten Musik,Rudolph The Red-Nosed Reindeer,0,135760,False,0.478,0.201,7,-16.79,1,0.0332,0.919,0.0,0.0854,0.857,136.47,4,jazz,2,0,1
2474,4641,4641,43707,2exysgAV1u8bcJ1tMD6boF,HØNEST,Your Heart Beating,Your Heart Beating,51,192588,False,0.778,0.622,5,-10.485,0,0.0489,0.0243,0.00158,0.363,0.534,123.984,4,groove,1,1,2
882,1707,1707,11227,6lFZbCc7pn6Lme1NP7qQqQ,The Rolling Stones,Let It Bleed,You Can't Always Get What You Want,68,448720,False,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,4,british,1,1,0
3756,6936,6936,71465,3HE50TVRquwXe9yv2HFoNL,Three Days Grace,One-X,Never Too Late,70,209333,False,0.433,0.778,2,-4.68,0,0.0371,0.00838,0.0,0.163,0.217,149.864,4,metal,0,2,1
88,166,166,155,0gVbkmFqq5fIkXtJJ3UTfM,Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,255688,False,0.599,0.349,1,-9.269,1,0.0301,0.819,0.0,0.112,0.444,147.913,4,acoustic,1,1,1
3883,7099,7099,72650,0N4Chp5oSV5c1PVAyX4A25,Awaken I Am,The Beauty In Tragedy,By Your Side,52,200546,False,0.462,0.972,8,-3.128,0,0.0735,0.0018,0.0,0.141,0.782,158.083,4,metalcore,2,2,1
1635,3119,3119,25621,1VTMnL02a5mShVJxbZWunu,Culture Club,At Worst...The Best Of Boy George And Culture Club,Victims,34,295333,False,0.428,0.312,8,-14.24,1,0.0333,0.431,0.0,0.111,0.371,126.75,4,disco,1,0,1
881,1705,1705,11359,58CQmWVeUxIogEfGrmQcSh,DragonForce,Inhuman Rampage,Trail Of Broken Hearts,38,355306,False,0.385,0.702,9,-5.892,1,0.0337,0.24,0.0,0.12,0.269,72.507,4,british,0,2,1
665,1241,1241,8753,5MuHf3VBDhDq0KDkNUfVrO,Sam Tinnesz;Yacht Money,Play with Fire (feat. Yacht Money) [Extended Mix],Play with Fire (feat. Yacht Money) - Extended Mix,42,193490,False,0.556,0.583,2,-5.256,0,0.0335,0.0256,2.73e-05,0.115,0.327,75.017,4,blues,0,1,1
127,250,250,1916,5U7u0VTIvMeQIbXwNeWO40,Jaron Nurse,Uncommon,Keep It Clean,16,225071,False,0.56,0.644,11,-5.826,1,0.131,0.515,0.0,0.116,0.875,82.505,4,afrobeat,2,1,1
5285,9711,9711,99442,3ldrKmt2S7VBENF7g40ibi,Don McLean,Обратно в клас - rock,American Pie,0,513000,False,0.461,0.563,4,-9.325,0,0.0605,0.358,0.0,0.302,0.477,138.571,4,singer-songwriter,1,1,1
1153,2392,2392,17523,6jtsw8r97HHJGdYh8ClNn2,Kingdom;Syd,Tears in the Club,Nothin,17,222911,False,0.686,0.479,5,-9.237,0,0.0578,0.537,0.00977,0.0857,0.3,119.999,4,club,0,1,2
1109,2270,2270,15234,7xD50fgMxpy8SFzyYiLntI,Tankz,London Scammer,London Scammer,65,193258,True,0.871,0.282,9,-16.861,0,0.247,0.375,0.0284,0.0856,0.353,140.068,4,chill,1,0,2
5180,9560,9560,99837,0QhzV0wGDhWvBfvTpvVL5m,Isak Danielson,Tomorrow Never Came,Face My Fears,51,224937,False,0.497,0.462,11,-8.485,1,0.0517,0.0721,0.0,0.122,0.108,137.546,4,singer-songwriter,0,1,1
5705,10518,10518,107501,0B9U02XhMpK0N0vbuboKgc,Modern Talking,Let's Talk About Love,With a Little Love,48,213240,False,0.74,0.615,2,-13.55,0,0.0295,0.335,0.0138,0.328,0.961,117.291,4,synth-pop,2,1,2
738,1358,1358,8148,2APCEcZ3XkPzYQ8WhaRtri,Ella Fitzgerald,Holiday Favorites 2022,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,1,0,1
2063,3801,3801,34922,3ccDb4UqLC54IoFJ8LmFoy,Garrett Kato,I'll Be Around,I'll Be Around,65,186954,False,0.659,0.302,1,-12.283,1,0.0296,0.723,1.51e-05,0.111,0.331,79.024,1,folk,1,0,1
2838,5249,5249,48866,1spajavaChi9mMcsV5M5SE,Bayside,Bayside,Half A Life,30,243400,False,0.309,0.873,7,-5.782,0,0.0634,0.000181,0.0,0.0733,0.426,177.886,4,hardcore,1,2,0
5534,10184,10184,103344,2EIizvgJni0jT9SqqFv64N,The Jackson 5,Christmas Best Hits 2022,I Saw Mommy Kissing Santa Claus,0,181360,False,0.582,0.705,3,-8.169,1,0.0539,0.29,1.38e-06,0.797,0.64,128.89,4,soul,1,2,1
5364,9945,9945,102677,1uviKYHZuM4uINK33F7sCt,Clinton Kane,Fix It to Break It,Fix It to Break It,64,198798,False,0.493,0.461,2,-8.524,1,0.0456,0.845,0.0,0.115,0.35,51.414,4,songwriter,1,1,1
1930,3608,3608,33753,1JmEymqQwLXvCg3sJ7gz0n,Yung Pinch,Perfect,Perfect,58,219866,False,0.68,0.542,9,-8.848,0,0.0974,0.26,0.0,0.112,0.274,148.942,4,emo,0,1,2
1213,2503,2503,19351,4BXkf6yww23Vdju7E1fUrn,Brad Paisley;Alison Krauss,Hits Alive,Whiskey Lullaby (feat. Alison Krauss),64,259453,False,0.587,0.35,2,-10.954,1,0.0318,0.74,0.0,0.156,0.17,74.479,4,country,0,1,1
559,994,994,7687,6H38gzFwP4OMiNJYrW33Zh,Doyle Lawson & Quicksilver,Help Is On The Way,Keep Your Eyes On Jesus,21,197826,False,0.477,0.567,9,-8.644,1,0.0503,0.826,1.93e-06,0.302,0.667,187.859,4,bluegrass,2,1,1
1074,2215,2215,15009,2W4yABdLc4Jnds67Poi5Nl,Ant Saunders,Yellow Hearts,Yellow Hearts,68,223257,False,0.866,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.039,4,chill,2,1,2
1020,2122,2122,15543,2ch4KLYvi9ZGq2pNyEsMom,mj apanay;aren park,seen 11:23 pm,time machine,57,225933,False,0.652,0.256,10,-13.4,0,0.0799,0.874,0.0,0.163,0.408,119.414,3,chill,1,0,1
821,1589,1589,11570,3Dtg7OR2EYGI5zZuuRpFKT,Fenne Lily,On Hold,Top to Toe,52,216252,False,0.708,0.153,1,-14.594,1,0.0489,0.892,8.67e-06,0.112,0.45,110.951,4,british,1,0,2
5558,10220,10220,103797,7cywY7n6Vgv9u9kiHt8nll,The Staple Singers,Weihnachten Playlist,Who Took The Merry Out Of Christmas,0,149333,False,0.609,0.485,8,-11.166,1,0.091,0.112,2.08e-05,0.0967,0.736,101.611,4,soul,2,1,1
4988,9265,9265,94670,1NPvaOBF5y6HxKDOEAbUp7,poofi.,get u the moon,get u the moon,41,162192,False,0.75,0.158,6,-24.285,0,0.337,0.964,0.922,0.223,0.507,97.567,4,sad,1,0,2
5640,10410,10410,107023,7pYMmSSlsSsrygkg63YJEb,Tove Lo,LUGNA HITS,I'm Coming,1,196558,False,0.65,0.625,0,-10.122,0,0.0359,0.00536,0.00046,0.119,0.293,118.965,4,synth-pop,0,1,1
2520,4705,4705,44292,67vYdAAM3oGsEImCRfbtsF,Foo Fighters,One By One (Expanded Edition),Times Like These,71,265560,False,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,4,grunge,0,2,1
100,195,195,326,5P6ZBMWS66FVo6deJaDdHy,The Civil Wars,The Civil Wars,Dust to Dust,49,229653,False,0.747,0.265,1,-14.141,1,0.0354,0.745,0.0169,0.11,0.2,138.017,4,acoustic,0,0,2
5367,9951,9951,102749,3WBJcwnBI1eocuhkwTz8dg,Bachman-Turner Overdrive,On air 70's Hits,Takin' Care Of Business,0,291733,False,0.728,0.919,10,-5.751,1,0.0494,0.0495,0.0,0.152,0.963,130.22,4,songwriter,2,2,2
2968,5534,5534,51411,2GfARslWOjzRUtqCemkJmF,Jack Harlow,Upbeat 20's,First Class,0,173947,True,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,hip-hop,0,1,2
1549,2951,2951,22753,3ffljpjKfPISFjCt4zpYUk,Make Them Suffer,Hollowed Heart,Hollowed Heart,11,231899,False,0.302,0.985,11,-2.869,1,0.164,5.67e-05,0.000497,0.154,0.364,90.814,4,death-metal,1,2,0
5096,9434,9434,98810,3m9MKNTdPmsKJRqrhqQnhW,Ben Platt,Imagine (Acoustic),Imagine - Acoustic,43,181914,False,0.617,0.227,1,-9.59,1,0.0321,0.815,0.0,0.102,0.367,94.101,4,show-tunes,1,0,1
